Search Frequency Rank,Search Term,Top Clicked Brand #1,Top Clicked Brands #2,Top Clicked Brands #3,Top Clicked Category #1,Top Clicked Category #2,Top Clicked Category #3,Top Clicked Product #1: ASIN,Top Clicked Product #1: Product Title,Top Clicked Product #1: Click Share,Top Clicked Product #1: Conversion Share,Top Clicked Product #2: ASIN,Top Clicked Product #2: Product Title,Top Clicked Product #2: Click Share,Top Clicked Product #2: Conversion Share,Top Clicked Product #3: ASIN,Top Clicked Product #3: Product Title,Top Clicked Product #3: Click Share,Top Clicked Product #3: Conversion Share,Reporting Date
1,stanley cup,STANLEY,Soufull,Simple Modern,Outdoors,Kitchen,Guild,B0CK9GTLJY,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More, Frost, 40oz",29.14,2.21,B08VPSGX5G,"Stanley IceFlow Stainless Steel Tumbler with Straw - Vacuum Insulated Water Bottle for Home, Office or Car - Reusable Cup with Straw Leak Resistant Flip - Cold for 12 Hours or Iced for 2 Days (Polar)",10.08,1.41,B0BYWFHZCC,"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More, Iris, 30 oz",10,1.83,8/31/2024
2,toilet paper,Amazon Basics,Charmin,Scott,Health & Personal Care,Biss,Grocery,B07BGLT25K,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue, 12 Count (Pack of 1)",12.94,11.51,B0CGWF2BRF,"Amazon Basics 2-Ply Toilet Paper 6 Rolls = 24 Regular Rolls, Unscented, 350 Sheets, (1 Pack of 6)",12.78,8.65,B09NW81TH8,"Angel Soft Toilet Paper, 16 Mega Rolls = 64 Regular Rolls, Soft and Strong Toilet Tissue",6.73,5.84,8/31/2024
3,paper towels,Bounty,Amazon Basics,Scott,Health & Personal Care,Biss,Grocery,B0CKK43XXS,"Scott Paper Towels, Choose-A-Sheet, 6 Double Rolls = 12 Regular Rolls (100 Sheets Per Roll)",15.25,14.04,B09BWFX1L6,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 32 Regular Rolls, Everyday Value with 150 Sheets per Roll",12.37,10.14,B07MHJFRBJ,"Bounty Quick Size Paper Towels, White, 8 Family Rolls = 20 Regular Rolls",6.81,6.51,8/31/2024
4,airpods,Apple,JBL,?????????(apple),Wireless,Electronics,PC,B07PXGQC1Q,"Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone",39.54,51.3,B0D1XD1ZV3,"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",18.61,14.86,B0D1WXVQTN,"Apple AirPods (3rd Generation) Wireless Ear Buds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, Lightning Charging Case Included, Up to 30 Hours of Battery Life",11.3,7.46,8/31/2024
5,owala,OWALA,Ello,STANLEY,Kitchen,Outdoors,Home,B0BZYC7N7X,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports and Travel, BPA-Free, 24-oz, Orange/Green (Camo Cool)",39.73,3,B0BZYCJK89,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports and Travel, BPA-Free, 24-oz, Blue/Teal (Denim)",12.06,2.91,B0CRCJY6YH,"Owala Kids FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 16 oz, All the Berries",6.14,0.09,8/31/2024
6,urolithin a,TOPFFY,VIVALIFER Naturals,,Health & Personal Care,Luxury_Beauty,Grocery,B0DCBBF4YM,"VIVALIFER Naturals Urolithin A Supplement 2000mg - 120 Capsules Powerful Antioxidant Protection, Promoting Healthy Aging & Mitochondrial Health and Cell Repair Support for Men & Women",28.78,1.07,B0D7M11KK5,"Urolithin A Supplement 1000 mg, for Cellular and Energy Production, Mitochondria Support, 270Capsules",14.76,0,B0D7MC2W3S,"Topffy Urolithin A Supplement 1000 mg, for Cellular and Energy Production, Mitochondria Support, 90 Capsules",13.86,0.77,8/31/2024
7,ipad,Apple,Heywood,SAMSUNG,PC,Electronics,Digital_Text_2,B09G9FPHY6,"Apple iPad (9th generation): with A13 Bionic chip, 10.2-inch Retina display, 64GB, Wi-Fi, 12MP front/8MP back camera, Touch ID, all-day battery life – Space Gray",22.43,29.93,B0BJLT98Q7,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",20.18,6.88,B0BJLXMVMV,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",10.13,4.25,8/31/2024
8,the boys,,Dynamite Entertainment,The Boys,Digital_Video_Download,Digital_Ebook_Purchase,Video DVD,B0875THX53,The Boys - Season 1,15.22,0,B08762WJZN,“The Name of the Game”,13.07,0,B0CLWVYHZ5,The Boys – Season 4,11.78,0,8/31/2024
9,twisters,,UNIVERSAL,WARNER BROS,Digital_Video_Download,Video DVD,Digital_Music_Purchase,B0D6XN334B,Twisters,84.25,0,B0D6XD5WMW,Twisters,6.95,0,B00CYWURLO,Twister,2.45,0,8/31/2024
10,pencil pouch,EASTHILL,Mr. Pen,SPACEMATE,Office Products,Luggage,Home,B09QM2DRBV,EASTHILL Big Capacity Pencil Case Large Pencil Pouch Stationery Pen Bag for Teen Girls-Green,7.39,1.71,B0BFM67M4D,"Mr. Pen- Large Capacity Pencil Case, Mint Green, Pencil Pouch, Pencil Bag, Pen Case, Pen Pouch, Pen Bag, Pencil Pouches, Pencil Bags, Green Pencil Case, School Pencil Case, College Pencil Case",4.67,1.01,B091KM2JDH,"FUXINGYAO Pencil Case, Multi- Slot Pencil Pouch, Portable Pencil Bag, Pen Case for& Office(Black)",3.43,2.03,8/31/2024
11,twister,,AMAZON PRIME VIDEO,Hasbro Gaming,Digital_Video_Download,Toys,Video DVD,B0D6XN334B,Twisters,58.76,0,B00CYWURLO,Twister,30.08,0,B0D6XD5WMW,Twisters,2.77,0,8/31/2024
12,kindle,Amazon,,DATAFY,Digital_Text,Digital_Text_2,Digital_Ebook_Purchase,B09SWV3BYH,"Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage – Denim",22.34,12.35,B09TMZKQR7,"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Agave Green",18.9,10.44,B09SWW583J,"Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage – Black",10.66,8.3,8/31/2024
13,apple watch,Apple,?????????(apple),RUIMEN,Wireless,Electronics,Home Entertainment,B0CHX9CY7W,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Midnight Aluminum Case with Midnight Sport Band S/M. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor",10.86,6.79,B0CHX7R6WJ,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor",9.57,5.07,B0CSTFHP3W,"Apple Watch Series 9 [GPS 45mm] Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness Tracker, ECG Apps, Always-On Retina Display, Water Resistant",8.07,6.28,8/31/2024
14,water bottle,OWALA,STANLEY,Hydro Flask,Kitchen,Outdoors,Home,B085DTZQNZ,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports and Travel, BPA-Free, 24-oz, Very, Very Dark",7.18,1.38,B01KXHIWL8,Hydro Flask Standard Flex Cap Black 21 Oz,3.91,0.66,B0BZYC7N7X,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports and Travel, BPA-Free, 24-oz, Orange/Green (Camo Cool)",2.92,0.17,8/31/2024
15,shower curtain,Dynamene,Gibelle,LiBa,Home,Furniture,Home Improvement,B09CYLZPYP,"Dynamene Sage Green Shower Curtain - Waffle Textured Heavy Duty Thick Fabric Shower Curtains for Bathroom, 256GSM Luxury Weighted Polyester Cloth Bath Curtain Set with 12 Plastic Hooks,72Wx72H,Green",7.42,2.25,B00LS9UD2M,LiBa Bathroom Shower Curtain - Waterproof Plastic Shower Curtain Premium PEVA Non-Toxic with Rust Proof Grommets Clear 8G Heavy Duty Bathroom Accessories 72x72,6.24,6.58,B098PY2MTW,"ALYVIA SPRING Waterproof Fabric Shower Curtain Soft Hotel Quality - 3 Magnets at Bottom, Premium Black Shower Curtain Liner for Bathroom, Light-Weight Cloth & Washable - 72x72, Black",4.19,2.13,8/31/2024
16,pencil case,EASTHILL,CICIMELON,Sooez,Office Products,Luggage,Home,B09QM2DRBV,EASTHILL Big Capacity Pencil Case Large Pencil Pouch Stationery Pen Bag for Teen Girls-Green,5.97,1.53,B08P48YL4G,CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School Teen Girl Boy Men Women (Pink),4.43,1.38,B0BJPDJ84Y,"WEMATE Large Pencil Case Aesthetic,Big Capacity Canvas Pencil Pouch with Zipper, Pencil Case for Women & Men, Marker Pen Case,Portable Stationery Pencil Bag for Office Light Grey",3.94,1.99,8/31/2024
17,magnesium glycinate,Pure Encapsulations,Nature Made,Double Wood Supplements,Health & Personal Care,Grocery,Beauty,B08XXHCGZT,"Nature Made Magnesium Glycinate 200 mg per Serving, Magnesium Supplement for Muscle, Heart, Nerve and Bone Support, 60 Magnesium Bisglycinate Capsules, 30 Day Supply",17.18,13.53,B07P5K7DQP,"Pure Encapsulations Magnesium (Glycinate) - Supplement to Support Stress Relief, Sleep, Heart Health, Nerves, Muscles, and Metabolism* - with Magnesium Glycinate - 90 Capsules",15.11,11.18,B0058HWV9S,"Pure Encapsulations Magnesium (Glycinate) - Supplement to Support Stress Relief, Sleep, Heart Health, Nerves, Muscles, and Metabolism* - with Magnesium Glycinate - 180 Capsules",6.33,3.9,8/31/2024
18,iphone 15 pro max case,ESR,Miracase,Otterbox,Wireless,Electronics,PC,B0CC1F4V7Q,"ESR for iPhone 15 Pro Max Case, Compatible with MagSafe, Military-Grade Protection, Yellowing Resistant, Scratch-Resistant Back, Magnetic Phone Case for iPhone 15 Pro Max, Classic Series, Clear",10.67,6.19,B0CDPGGL3C,"Miracase Magnetic for iPhone 15 Pro Max Case 6.7'' [Compatible with Magsafe] Full-Body Drop Proof Bumper Phone Case for iPhone 15 Pro Max with Built-in 9H Tempered Glass Screen Protector,Blue",5.71,2.64,B0CDGFLRG6,"Misea Magnetic for iPhone 15 Pro Max Case with MagSafe [Never Yellowing] [Military Grade Drop Protection] Full Camera Lens Protector Plating Soft Clear Phone Case for Women Girls, Gold",3.53,1.54,8/31/2024
19,highlighters,Sharpie,BiC,Amazon Basics,Office Products,Biss,Toys,B000Q5ZGIA,"BIC Brite Liner Highlighters, Chisel Tip, 5-Count Pack of Highlighters Assorted Colors, Ideal Highlighter Set for Organizing and Coloring",22.79,28.28,B002BA5WMI,"Sharpie Pocket Style Highlighters, Chisel Tip Highlighter Marker Set, Assorted Fluorescent Highlighters, Perfect For Office Supplies, School Supplies, 12 Count",10.12,11.33,B0891Y35JM,"BIC Brite Liner Grip Pocket Highlighter, Assorted Ink Colors, Chisel Tip, Assorted Barrel Colors, 6/pack",4.75,3.01,8/31/2024
